03:15 Converse_Boy: t
03:18 Converse_Boy: §2hi
03:18 Converse_Boy: §3hi
03:18 Converse_Boy: §4hi
03:18 Converse_Boy: mhm
03:23 GOTeamLeoGO : hmm
04:05 Donald_JTrump: Hello
04:06 Donald_JTrump: Are you new to the server?
18:19 PhoebeThePanda : im a little busy rn
18:19 xSpiderMan     : Yo
18:20 PhoebeThePanda : hey
18:20 xSpiderMan     : Still got this invincible zombie
18:20 xSpiderMan     : OPM does no damage to him...
18:21 xSpiderMan     : ...
18:21 EmmettGaming   : /pm mxspiderman hi 
18:21 EmmettGaming   : /pm xspiderman hi 
18:22 xSpiderMan     : /r Hello 
18:22 EmmettGaming   : i nto dosroying you den
18:22 xSpiderMan     : What?
18:22 xSpiderMan     : Oh
18:22 EmmettGaming   : jk i am
18:22 EmmettGaming   : to make a new one
18:22 EmmettGaming   : thats better
18:22 xSpiderMan     : Make a new what? xD
18:23 EmmettGaming   : den
18:23 EmmettGaming   : for you
18:23 xSpiderMan     : Oh
18:23 xSpiderMan     : Im fine :-:
18:23 xSpiderMan     : I alrdy has den
18:23 EmmettGaming   : omg i broke it to make a new one
18:23 EmmettGaming   : the is better
18:23 xSpiderMan     : You never broke my den
18:23 xSpiderMan     : well I think
18:23 EmmettGaming   : emm
18:23 xSpiderMan     : Lemme checkk
18:24 xSpiderMan     : You didnt break my den
18:24 EmmettGaming   : go to where teh super heros are
18:24 xSpiderMan     : Oh, your talking about the island with webs around it?
18:24 EmmettGaming   : yeah
18:24 xSpiderMan     : Yea, thats mine
18:24 xSpiderMan     : I left it though
18:24 xSpiderMan     : Break it all you want
18:25 EmmettGaming   : okay wheres your real den i wont break it i just want to see
18:25 xSpiderMan     : I has no den :(
18:25 EmmettGaming   : what do you have then
18:25 xSpiderMan     : Nothing :(
18:25 EmmettGaming   : me too
18:25 EmmettGaming   : want to battle
18:25 xSpiderMan     : nu
18:26 EmmettGaming   : what you wanna do then
18:26 xSpiderMan     : Nothing really.
18:26 xSpiderMan     : OH NO
18:26 EmmettGaming   : plz battle me
18:26 xSpiderMan     : I FOUND A SKELETON HORSE
18:26 EmmettGaming   : what
18:26 xSpiderMan     : AND KILLED IT ON ACCIDENT
18:27 xSpiderMan     : I dont want to battle
18:27 EmmettGaming   : why cant i do disguise
18:27 xSpiderMan     : ew
18:28 xSpiderMan     : Now you can disguise.
18:28 EmmettGaming   : thnx
18:28 EmmettGaming   : thnxs
18:29 EmmettGaming   : . test
18:29 xSpiderMan     : k
18:30 EmmettGaming   : OMG THERES IS SKELLY HOURSE ON SPIDERMAN ISLAND
18:30 xSpiderMan     : No there isnt?
18:30 EmmettGaming   : LOOK
18:30 xSpiderMan     : Is it the one with webs?
18:30 EmmettGaming   : YEAH
18:30 xSpiderMan     : Oh, idc
18:30 xSpiderMan     : Take the horse
18:31 EmmettGaming   : hwo do you disguise into people
18:31 EmmettGaming   : . I has no clothes
18:31 EmmettGaming   : hwo do you disguise into people
18:32 EmmettGaming   : lol
18:32 EmmettGaming   : whos the real me
18:32 xSpiderMan     : Will not reply
18:32 EmmettGaming   : tell me how to do it
18:32 xSpiderMan     : I wont reply to the disguise thing
18:32 EmmettGaming   : why
18:32 xSpiderMan     : Because I dont want to xD
18:33 EmmettGaming   : hi
18:33 xSpiderMan     : Hello
18:34 EmmettGaming   : plz /kill me
18:34 xSpiderMan     : I cant
18:34 EmmettGaming   : noo
18:34 EmmettGaming   : thnx
18:34 xSpiderMan     : Yo
18:34 EmmettGaming   : are you gonna come out
18:35 xSpiderMan     : Come out?
18:35 EmmettGaming   : hwo do you do that tell me
18:35 EmmettGaming   : of homie
18:35 xSpiderMan     : ...
18:35 EmmettGaming   : come out of homie
18:36 EmmettGaming   : how did you do that
18:36 xSpiderMan     : Magic
18:36 EmmettGaming   : plz tell me
18:36 EmmettGaming   : ahhj]#
18:36 EmmettGaming   : how can do it juits tell me that
18:36 EmmettGaming   : . The real me is the one standing still
18:37 EmmettGaming   : hi
18:37 EmmettGaming   : hi bro
18:37 xSpiderMan     : Screenie xD
18:37 xSpiderMan     : Hello disguied-me
18:37 xSpiderMan     : Screenshottt
18:38 xSpiderMan     : k out of disguise
18:38 xSpiderMan     : Ill disguise as u now
18:38 xSpiderMan     : So there will be 2 of u
18:38 xSpiderMan     : wb KragenClaw
18:38 EmmettGaming   : disguise
18:39 xSpiderMan     : /msg EmmettGaming Do /disguise p KragenClaw 
18:39 EmmettGaming   : wait i got bets idea ever
18:39 KragenClaw     : ya
18:39 xSpiderMan     : /r There will be 3 of him we can prank him xD 
18:39 xSpiderMan     : /r And also to make him talk do /speak KragenClaw 
18:39 EmmettGaming   : /msg xspiderman that was my idea come so we doesnt see us 
18:39 xSpiderMan     : /r You go hide and disguise 
18:39 xSpiderMan     : /r He hasnt seen mehh 
18:40 KragenClaw     : . yo its gangsta homie kragen
18:40 EmmettGaming   : kragenclaws
18:40 KragenClaw     : call me claw for short
18:41 KragenClaw     : . and also pls call me mr egg head
18:41 KragenClaw     : no
18:41 KragenClaw     : . guys I has hax
18:41 xSpiderMan     : /r LOLOLOL 
18:41 xSpiderMan     : /r This is hilarious 
18:41 KragenClaw     : haha
18:42 KragenClaw     : . yes haha cuz my face so ugly
18:42 EmmettGaming   : /msg xspiderman how do i turn my name into i=his name 
18:42 KragenClaw     : gosh danget
